编码名称,编码定义,来源文件数量,总出现次数,具体语句汇总,涉及文件,被合并的原始编码,代表性评分
拖延引发的休息负罪感,因主动回避任务而选择休息，导致休息被感知为逃避责任，从而引发焦虑与自责,2,2,[文件: sub035.txt] “做事拖延，宁愿休息也不远主动利用时间去做，所以会焦虑” | [文件: sub126.txt] “加上自己的拖延症”,"sub035.txt, sub126.txt",拖延引发的休息负罪感,1.0
同辈学业比较,在休息时将自身状态与同学进行对比，因感知他人仍在努力而觉得自己不应休息，引发不适感,4,4,[文件: sub040.txt] “将自己与同学的比较” | [文件: sub130.txt] “同龄人的学习情况、学习成绩以及学习节奏” | [文件: sub010.txt] “总爱跟同学横向对比，而不是先寻找自己进步的方式” | [文件: sub013.txt] “自己希望能将学习、科研等做得更好，并且旁边人学习都十分努力。我认为最主要的是目前就业环境不好，我会担心不努力学习以后无法找到一份理想的工作”,"sub010.txt, sub013.txt, sub040.txt, sub130.txt",同辈学业比较; 同辈横向比较压力; 同辈努力氛围引发的自我对照,0.866504430770874
恐惧落后于他人,个体在他人工作时休息，因担心自身进度或成就被超越而产生羞耻感,3,3,[文件: sub092.txt] “在别人的工作时，我们就会产生会落后于他人的恐惧” | [文件: sub153.txt] “害怕被别人落下，害怕放松的时候会被超过” | [文件: sub139.txt] “学生和职场人面临学业、工作竞争压力，担心休息会落后于他人”,"sub092.txt, sub139.txt, sub153.txt",恐惧落后于他人; 对落后于他人的担忧,0.8810703158378601
努力至上价值观的内化,社会普遍推崇“努力至上”的价值取向，使个体将休息等同于懒惰，从而产生羞耻感,3,3,[文件: sub135.txt] “从社会环境看，‘努力至上’的价值观盛行，大家都在卷成绩、卷竞赛，让我们觉得休息就是偷懒” | [文件: sub139.txt] “从社会环境看，‘努力至上’的价值观盛行，人们将忙碌与成功、价值画等号，休息被视为懒惰” | [文件: sub051.txt] “整个东亚社会文化对努力第一、休息可耻的认识”,"sub051.txt, sub135.txt, sub139.txt",努力至上价值观的内化; 努力至上文化规范,0.8661763668060303
未完成任务引发的焦虑,个体因存在尚未完成的任务而产生焦虑感，认为只有完成任务后才能安心休息，从而在休息时感到不适或羞耻,7,7,[文件: sub151.txt] “有事没弄完，弄完了就不焦虑了。” | [文件: sub169.txt] “休息时会触发一种‘未完成任务’的焦虑感，会不由自主地想起未完成的学习任务” | [文件: sub050.txt] “焦虑” | [文件: sub059.txt] “疲惫但需要干的事情还有很多，自己能量透支太多需要补充，但需要干的事情还有很多。” | [文件: sub101.txt] 对于完不成任务或达不成既定目标的恐惧与担忧 | [文件: sub102.txt] “有一种可能是自己本该完成的事情还没有完成” | [文件: sub108.txt] “学习任务没完成”,"sub050.txt, sub059.txt, sub101.txt, sub102.txt, sub108.txt, sub151.txt, sub169.txt",未完成任务引发的焦虑; 对未完成事务的持续担忧; 未完成任务压力; 对未完成任务的恐惧; 未完成任务的压力; 未完成任务焦虑,0.8960508108139038
虚拟空间中的持续绩效监控,数字媒介（如宿舍灯光、群聊、社交媒体）使他人的努力状态高度可见，形成无处不在的隐性监督环境，个体在其中难以合理化自身休息行为,1,3,[文件: sub009.txt] “凌晨两点的台灯、朋友圈晒出的‘今日学习13h’截图、群里随时跳动的‘大佬又发论文’链接，都在提醒我”,sub009.txt,虚拟空间中的持续绩效监控,1.0
休息与懒惰的道德绑定,个体在成长过程中被灌输“休息等于不务正业”的价值判断，将休息道德化为懒惰或错误行为，导致休息时产生内疚。,1,2,[文件: sub021.txt] “然后是从小到大的教育影响，爸妈和老师总说‘少壮不努力，老大徒伤悲’，把休息和不务正业划等号。”<br>“我小时候只要一闲下来，我妈就会问‘作业写完了吗？书看了吗？’，时间长了，一休息就觉得愧疚，好像只有一直学习、一直做事才是对的。”,sub021.txt,休息与懒惰的道德绑定,1.0
对他人努力的想象性监控,个体在休息时主动想象他人正在努力工作或取得进展，由此产生被超越的焦虑，进而否定自身休息的正当性。,1,2,[文件: sub021.txt] “还有就是自己跟自己较劲，总担心别人在偷偷努力。”<br>“比如我室友在准备竞赛，我要是在玩游戏，就会忍不住想‘她是不是又做出了一个新模型？’，越想越焦虑，觉得自己这时候休息就是在浪费机会，哪怕知道自己已经很累了，也不敢安心歇着。”,sub021.txt,对他人努力的想象性监控,1.0
家庭价值导向强调产出,家庭在成长过程中传递“休息必须产生价值”的观念，使个体将休息与无效、浪费等负面评价关联，从而在无产出时产生羞耻感,1,2,[文件: sub037.txt] “家庭教育”；“应试教育下从小开始就被教育休息时间也应该去‘创造价值’”,sub037.txt,家庭价值导向强调产出,1.0
高强度学业竞争环境,个体所处的教育环境中存在对成绩、综合测评等指标的过度竞争，导致休息被视为落后或懈怠，从而引发羞耻感,10,12,[文件: sub057.txt] “保研竞争”“卷绩点卷综测卷到厌倦” | [文件: sub123.txt] “无法在短时间内取得较好的成绩”“从小到大被传输应该抓紧每一分时间” | [文件: sub018.txt] “一个是从小生长的环境，比如家庭或者学校一直是一种竞争的模式。” | [文件: sub079.txt] “对自己的要求比较高” | [文件: sub109.txt] “升学压力，竞争的人太多，我不努力，有的是比我努力的人。” | [文件: sub126.txt] “对绩点的期盼和对成绩的要求” | [文件: sub143.txt] 高中学习生活比较强调学习成绩，一直向同学们传达一些不算特别健康的理念。 | [文件: sub149.txt] “学业压力……造成了休息羞耻症” | [文件: sub154.txt] “现在的社会升学和就业压力过大” | [文件: sub170.txt] “生活压力大，学业竞争压力大，就业压力大”,"sub018.txt, sub057.txt, sub079.txt, sub109.txt, sub123.txt, sub126.txt, sub143.txt, sub149.txt, sub154.txt, sub170.txt",高强度学业竞争环境; 成绩导向的时间紧迫感; 竞争性成长环境; 高自我学业标准; 高强度学业竞争感知; 高学业成就期待; 学业成绩导向的教育氛围; 学业压力驱动的休息否定; 社会竞争压力内化; 多重结构性压力叠加,0.8720418810844421
外部成就期待压力,来自家庭或社会对个体持续高产出和成功的期待，使个体认为休息是对期待的背离，从而产生羞耻感,4,5,[文件: sub140.txt] “社会压力，家长的期待” | [文件: sub019.txt] “焦虑呗还有啥事，学习，要写论文，要竞赛，要找个好工作，赚钱。” | [文件: sub060.txt] “别人对我的过高期待” | [文件: sub141.txt] “父母的期望”,"sub019.txt, sub060.txt, sub140.txt, sub141.txt",外部成就期待压力; 未来成就压力; 外部高期待压力; 家庭成就期待压力,0.8824217319488525
习惯性忙碌内化,个体因长期处于忙碌状态，将高强度活动视为常态，导致休息时产生异常感与不适，进而引发羞耻体验,2,2,[文件: sub002.txt] “我感觉自己像一个永动机哈哈，就是从小到大习惯这种忙碌的状态了，所以一休息反而觉得很奇怪、非常奇怪，浑身不舒服，这种不舒服感也造成了一定的羞耻，就好像我在偷懒、无所事事一样。” | [文件: sub164.txt] “我觉得可能是我的愧疚心吧，不是很适应自己从很忙碌的时候脱出来”,"sub002.txt, sub164.txt",习惯性忙碌内化; 忙碌脱离不适感,0.8573698401451111
学历身份压力,高学历身份被赋予更高的社会期待或自我期待，导致个体在休息时感到与身份不符而产生羞耻感,1,1,[文件: sub003.txt] “可能学历越高，这种情况越明显”,sub003.txt,学历身份压力,1.0
内卷环境感知,个体感知到所处环境中普遍存在过度竞争和无效努力，认为休息意味着落后，从而对休息产生负面情绪,1,1,[文件: sub003.txt] “我认为这是一种内卷的现象”,sub003.txt,内卷环境感知,1.0
社会对持续奋斗的推崇,社会文化强调唯有不断努力才能获得成功与理想生活，使个体将休息视为对主流价值的背离，从而产生羞耻感,5,5,[文件: sub004.txt] “我觉得是因为压力太大，社会驱动我们不断前进，才能取得我们想要的金钱地位与美好的生活” | [文件: sub006.txt] “社会背景……都会要求自己努力工作，不要懈怠” | [文件: sub022.txt] “社会文化对‘持续产出’的推崇” | [文件: sub076.txt] 社会过度推崇“奋斗文化”，将休息等同于懒惰。这种价值观内化后，使人一休息就产生虚度光阴的负罪感，即休息羞耻。 | [文件: sub090.txt] “社会环境推崇的‘进取’”,"sub004.txt, sub006.txt, sub022.txt, sub076.txt, sub090.txt",社会对持续奋斗的推崇; 社会对勤奋的推崇; 社会对持续产出的推崇; 奋斗文化内化; 社会推崇进取文化,0.8753976225852966
学术评价体系的压力,学术环境以产出和效率为核心评价标准，导致个体认为休息会落后或不符合规范,1,1,[文件: sub006.txt] “学术体系……都会要求自己努力工作，不要懈怠”,sub006.txt,学术评价体系的压力,1.0
家庭对成就的高期待,原生家庭强调努力和成就，使个体内化“不可松懈”的信念，休息被视为辜负家庭期望,1,1,[文件: sub006.txt] “原生家庭……都会要求自己努力工作，不要懈怠”,sub006.txt,家庭对成就的高期待,1.0
内在成就动机过强,个体自身对高效和产出有强烈需求，将休息视为对自我要求的背离,7,7,[文件: sub006.txt] “自身需求……都会要求自己努力工作，不要懈怠” | [文件: sub011.txt] “需要更多时间充实自己” | [文件: sub056.txt] “自己的成就动机……又很多” | [文件: sub104.txt] “自己的上进心” | [文件: sub111.txt] “自我的催促” | [文件: sub128.txt] “个人原因就是一个比较争强好胜的人，所以才放松不下来” | [文件: sub166.txt] “不够用功，焦虑过度。”,"sub006.txt, sub011.txt, sub056.txt, sub104.txt, sub111.txt, sub128.txt, sub166.txt",内在成就动机过强; 自我提升紧迫感; 成就动机驱动; 内在成就驱力; 内在自我驱策; 争强好胜的个性倾向; 自我努力不足感,0.8731005787849426
高强度工作任务压力,个体因承担过重的工作任务而感到无法安心休息，认为休息会耽误工作进度，从而产生羞耻或内疚感,3,3,[文件: sub008.txt] “可能是工作任务繁重” | [文件: sub014.txt] “不断堆积的工作” | [文件: sub040.txt] “学业压力”,"sub008.txt, sub014.txt, sub040.txt",高强度工作任务压力; 工作积压压力; 学业任务压力,0.8647102117538452
社会规训内化,个体将社会对“勤奋”“高效”的规范内化为自我要求，认为休息违背了社会期待，因而对休息产生负面情绪,1,1,[文件: sub008.txt] “社会对人的规训”,sub008.txt,社会规训内化,1.0
休息被建构为退出竞争的象征,个体将休息行为解读为对学业或职业赛道的主动放弃，认为一旦休息即意味着丧失竞争力，因而产生道德化负罪感,1,1,[文件: sub009.txt] “而我若敢合上电脑，就像主动退出赛道”,sub009.txt,休息被建构为退出竞争的象征,1.0
时间利用的道德化认知,将时间必须用于 productive 活动（如学习、工作）视为道德义务，短暂休息（如午睡）因此被体验为对责任的违背，引发内疚,1,1,[文件: sub009.txt] “连午睡二十分钟都带负罪感”,sub009.txt,时间利用的道德化认知,1.0
休息与时间损失的灾难化联想,将短暂休息想象为不可逆的时间浪费，伴随“被远远甩离”的紧迫感，使休息行为与灾难性后果建立心理联结,1,1,[文件: sub009.txt] “仿佛床板下藏着倒计时炸弹，一闭眼就被‘同龄人’远远甩离”,sub009.txt,休息与时间损失的灾难化联想,1.0
任务拖延引发的负罪感,因未能按时完成应尽任务而产生的拖延行为，导致在休息时感到内疚和羞耻,1,1,[文件: sub010.txt] “有拖延症，不能及时完成该做的事”,sub010.txt,任务拖延引发的负罪感,1.0
时间浪费恐惧,个体担忧休息会占用本可用于 productive 活动的时间，将休息等同于浪费，从而引发内疚或焦虑,2,2,[文件: sub011.txt] “害怕过度休息会造成时间上的浪费” | [文件: sub043.txt] 学习工作的时候不专注，效率低下，休息的时候又焦虑没有在好好利用时间,"sub011.txt, sub043.txt",时间浪费恐惧; 时间利用焦虑,0.8690657615661621
完美主义倾向,对自身表现设定过高标准，认为休息意味着懈怠或失败，无法容忍未完成任务或表现不完美，导致休息时产生焦虑与自责,2,2,[文件: sub012.txt] “完美主义” | [文件: sub140.txt] “自己养成的必须尽最大努力的习惯”,"sub012.txt, sub140.txt",完美主义倾向; 自我施加的完美主义倾向,0.9057960510253906
长期行为驯化,在成长或工作环境中长期被训练为“必须高效”“不能停歇”，形成条件反射式的劳动惯性，使休息被视为异常或错误行为,1,1,[文件: sub012.txt] “长期被驯化”,sub012.txt,长期行为驯化,1.0
休息价值感缺失,个体内心不认可休息的必要性或正当性，认为休息不具备积极意义，从而在休息时产生羞耻体验,5,5,[文件: sub012.txt] “不懂如何正确休息” | [文件: sub023.txt] “我认为是能动力差……导致休息休息” | [文件: sub040.txt] “焦虑愧疚有压力” | [文件: sub105.txt] “因为我没有按照自己的计划休息，固然耽误了我正常计划的进行，固然导致休息焦虑或休息羞耻” | [文件: sub149.txt] “觉得休息没价值……造成了休息羞耻症”,"sub012.txt, sub023.txt, sub040.txt, sub105.txt, sub149.txt",休息技能缺失; 能动力不足; 休息伴随负面情绪体验; 未遵循个人休息计划; 休息价值感缺失,0.8811203241348267
心理健康困扰,存在焦虑、抑郁等心理状态，导致个体难以放松，休息时反而被负面思维侵扰，强化了对休息的抵触与羞耻体验,2,2,[文件: sub012.txt] “心理问题” | [文件: sub166.txt] “不够用功，焦虑过度。”,"sub012.txt, sub166.txt",心理健康困扰; 过度焦虑倾向,0.8559081554412842
就业压力驱动的自我要求,个体因担忧未来就业前景而对自身提出高强度学习或工作要求，认为必须持续努力才能获得理想职业，从而在休息时产生羞耻感,3,3,[文件: sub013.txt] “自己希望能将学习、科研等做得更好，并且旁边人学习都十分努力。我认为最主要的是目前就业环境不好，我会担心不努力学习以后无法找到一份理想的工作” | [文件: sub057.txt] “就业压力” | [文件: sub098.txt] “社会各方面就业压力”,"sub013.txt, sub057.txt, sub098.txt",就业压力驱动的自我要求; 就业前景不确定性带来的压力; 就业压力,0.8619958758354187
努力回报信念,个体持有“努力必有回报”的信念，将休息视为对努力的背离，进而产生道德或价值层面的自我质疑,1,1,[文件: sub014.txt] “想过上幸福生活的美好愿景，认为努力就有回报”,sub014.txt,努力回报信念,1.0
好孩子规训内化,个体在成长过程中被反复强化“持续学习=好孩子”的价值判断，将休息与道德缺陷或自我否定关联,1,1,[文件: sub014.txt] “从小被灌输的时刻保持学习状态会被认为是好孩子”,sub014.txt,好孩子规训内化,1.0
外部认同依赖,个体过度依赖他人评价来确认自我价值，导致在休息时因担心被负面评判而产生羞耻感,2,2,[文件: sub014.txt] “强烈的认同感需求让自己活在别人的看法里” | [文件: sub070.txt] “过强的成就动机，渴望他人的认可的需求对自己价值感的肯定以及他人的肯定以及优绩主义的影响”,"sub014.txt, sub070.txt",外部认同依赖; 外部认可依赖,0.870597243309021
决策冲突倾向,个体在面对休息与工作这一对冲突选项时，缺乏清晰的价值排序，容易陷入反复权衡与自我怀疑,1,1,[文件: sub014.txt] “在休息和工作两个有明显冲突的选项中会不自觉陷入矛盾情绪”,sub014.txt,决策冲突倾向,1.0
反刍性自我审视,个体在休息时反复回顾自身行为与状态，进行过度自我检视，放大休息的“不当性”,1,1,[文件: sub014.txt] “在自我反刍……的过程中生成过多的压力”,sub014.txt,反刍性自我审视,1.0
早期教育塑造的休息观念,个体在成长过程中因家庭教育和早期学业训练形成对休息的负面认知，认为休息是懒惰或不务正业的表现，从而在休息时产生羞耻感,2,3,[文件: sub015.txt] “从小的教育养成的习惯” | [文件: sub015.txt] “身边的环境父母的教育影响等等” | [文件: sub157.txt] “也可能与传统的家庭教育有关”,"sub015.txt, sub157.txt",早期教育塑造的休息观念; 家庭环境对休息态度的塑造; 传统家庭教育规训,0.858109712600708
