编码1,编码2,相似度
同辈竞争压力,自我意志薄弱,0.7029
同辈竞争压力,自我期望过高,0.6390
同辈竞争压力,学业任务压力,0.8262
同辈竞争压力,休息伴随负面情绪体验,0.7172
同辈竞争压力,担忧学业落后,0.8155
同辈竞争压力,恐惧休息行为本身,0.6396
同辈竞争压力,感知他人隐性竞争,0.6547
同辈竞争压力,担忧被群体远远抛下,0.7974
同辈竞争压力,生产力至上价值观,0.5490
同辈竞争压力,自我提升义务感,0.5829
同辈竞争压力,时间利用焦虑,0.7507
同辈竞争压力,就业市场竞争激烈,0.7337
同辈竞争压力,学历价值下降,0.7116
同辈竞争压力,社会整体压力氛围,0.7565
同辈竞争压力,同辈竞争性行为普遍,0.8056
同辈竞争压力,生活节奏过快,0.7381
同辈竞争压力,长期高压习惯化,0.7280
同辈竞争压力,自我成就压力,0.7606
同辈竞争压力,对落后于他人的恐惧,0.7607
同辈竞争压力,完美主义驱动的自我要求,0.6301
同辈竞争压力,竞争意识引发的休息压力,0.8044
同辈竞争压力,对未完成事务的持续担忧,0.7102
同辈竞争压力,努力至上文化规范,0.5702
同辈竞争压力,心理健康价值被忽视,0.5970
同辈竞争压力,家庭期望压力,0.8185
同辈竞争压力,目标与能力失衡引发的时间侵占,0.7050
同辈竞争压力,同侪努力引发的休息不适,0.8230
同辈竞争压力,自我高期望引发的休息冲突,0.7389
同辈竞争压力,同侪水平相近时的攀比压力,0.8914
同辈竞争压力,成就动机驱动,0.6724
同辈竞争压力,重要他人期望压力,0.7092
同辈竞争压力,同辈努力参照,0.7621
同辈竞争压力,社会焦虑氛围渗透,0.7595
同辈竞争压力,机构文化强调自律与进取,0.5486
同辈竞争压力,就业前景不确定性带来的压力,0.7802
同辈竞争压力,教育中缺乏对休闲正当性的认可,0.6434
同辈竞争压力,未完成任务压力,0.7357
同辈竞争压力,早期愧疚导向的教养方式,0.5977
同辈竞争压力,外部高期待压力,0.7997
同辈竞争压力,自我成就标准过高,0.6990
同辈竞争压力,对他人负面评价的恐惧,0.7343
同辈竞争压力,无意识的社会比较倾向,0.7332
同辈竞争压力,同辈群体的竞争氛围,0.8216
同辈竞争压力,社会竞争压力,0.8373
同辈竞争压力,自我要求严苛,0.6316
同辈竞争压力,内耗型思维模式,0.6583
同辈竞争压力,过度关注他人表现,0.7362
同辈竞争压力,资本主义社会对人的异化,0.4728
同辈竞争压力,价值条件化的教育影响,0.6138
同辈竞争压力,社会内卷与经济不安全感,0.6823
同辈竞争压力,同辈学业努力对比,0.7914
同辈竞争压力,自我成长期待冲突,0.6982
同辈竞争压力,家庭优先学习理念灌输,0.6480
同辈竞争压力,学校内卷化学习氛围,0.7144
同辈竞争压力,社会整体内卷风气,0.7018
同辈竞争压力,早期习惯内化,0.6606
同辈竞争压力,高压环境下的自动化思维,0.6793
同辈竞争压力,社会结构驱动的内卷压力,0.7149
同辈竞争压力,过高的自我要求,0.6630
同辈竞争压力,环境压力过大,0.7412
同辈竞争压力,成就导向的自我价值绑定,0.6436
同辈竞争压力,外部认可依赖,0.7202
同辈竞争压力,未达自我努力标准,0.7020
同辈竞争压力,焦虑敏感的个体特质,0.7271
同辈竞争压力,高压竞争的社会环境,0.7987
同辈竞争压力,应试教育塑造的行为惯性,0.6920
同辈竞争压力,过高自我目标设定,0.6252
同辈竞争压力,自我效能感不足,0.7293
同辈竞争压力,过度关注他人状态,0.6811
同辈竞争压力,自我敏感性过高,0.6137
同辈竞争压力,未来目标模糊,0.6516
同辈竞争压力,奋斗文化内化,0.6453
同辈竞争压力,奋斗价值观的文化传承,0.5962
同辈竞争压力,群体压力氛围,0.6875
同辈竞争压力,自我效能怀疑,0.5964
同辈竞争压力,社会生活节奏压迫感,0.7551
同辈竞争压力,高自我学业标准,0.7248
同辈竞争压力,升学目标驱动压力,0.7812
同辈竞争压力,学业压力内化,0.7643
同辈竞争压力,休息引发焦虑反应,0.7481
同辈竞争压力,早期价值观内化,0.6531
同辈竞争压力,同辈压力驱动的自我监控,0.8551
同辈竞争压力,理想自我与现实行为的落差,0.6170
同辈竞争压力,自动化负面思维模式,0.6271
同辈竞争压力,社会攀比压力,0.8258
同辈竞争压力,弥漫性焦虑氛围,0.6821
同辈竞争压力,亲密关系中的价值评判,0.6038
同辈竞争压力,家庭权威的期望压力,0.6816
同辈竞争压力,教育者传递的绩效焦虑,0.6249
同辈竞争压力,高压教养模式,0.5374
同辈竞争压力,成就导向型人格特质,0.6423
同辈竞争压力,目标紧迫性感知,0.7433
同辈竞争压力,计划秩序破坏敏感,0.5935
同辈竞争压力,效率至上信念,0.5977
同辈竞争压力,竞争压力下的自我不足感,0.8029
同辈竞争压力,外部比较压力,0.7518
同辈竞争压力,内在认知偏差,0.6775
同辈竞争压力,职场与校园文化规训,0.6577
同辈竞争压力,同辈压力驱动的休息不适,0.8489
同辈竞争压力,好胜性格引发的自我苛责,0.6438
同辈竞争压力,技术加速带来的紧迫感,0.7345
同辈竞争压力,对未来不确定性的焦虑,0.6751
同辈竞争压力,生存与生活压力的内化,0.6622
同辈竞争压力,他人评价的过度关注,0.6737
同辈竞争压力,幸福观的绩效化倾向,0.5756
同辈竞争压力,多源压力驱动的应然自我期待,0.7457
同辈竞争压力,自我设定目标未达成引发的内疚,0.5863
同辈竞争压力,代际劳动榜样内化,0.6397
同辈竞争压力,社会推崇进取文化,0.6769
同辈竞争压力,个人要强性格,0.6628
同辈竞争压力,高自我要求与完美主义倾向,0.6673
同辈竞争压力,时间经济化观念,0.5645
同辈竞争压力,勤劳美德内化,0.5638
同辈竞争压力,制度性过劳常态化,0.6695
同辈竞争压力,社会成功话语对休息的污名化,0.5888
同辈竞争压力,教育环境强调持续学习,0.5644
同辈竞争压力,社会内卷氛围压力,0.8037
同辈竞争压力,高压环境下的休息无效感,0.7532
同辈竞争压力,同辈竞争引发的休息愧疚,0.8026
同辈竞争压力,就业压力,0.7930
同辈竞争压力,时间管理失当,0.6874
同辈竞争压力,广泛性焦虑倾向,0.6820
同辈竞争压力,内卷环境引发的竞争压力,0.7401
同辈竞争压力,就业市场焦虑,0.7783
同辈竞争压力,休息等同于生命浪费,0.6272
同辈竞争压力,对未完成任务的恐惧,0.6881
同辈竞争压力,对目标的矛盾心理,0.7516
同辈竞争压力,未完成任务的压力,0.7392
同辈竞争压力,群体学习氛围的压迫感,0.7709
同辈竞争压力,就业前景焦虑,0.7896
同辈竞争压力,前途不确定性忧虑,0.7121
同辈竞争压力,家长期望负担,0.6847
同辈竞争压力,他人审视恐惧,0.7203
同辈竞争压力,内在成就驱力,0.6908
同辈竞争压力,未遵循个人休息计划,0.6890
同辈竞争压力,资源稀缺引发的生存焦虑,0.7339
同辈竞争压力,感知他人努力压力,0.7936
同辈竞争压力,未完成任务焦虑,0.7613
同辈竞争压力,自我高标准要求,0.6762
同辈竞争压力,不切实际的任务目标,0.6271
同辈竞争压力,高强度学业竞争感知,0.8473
同辈竞争压力,自我设定的高成就标准,0.7150
同辈竞争压力,对未来后果的灾难化预期,0.6666
同辈竞争压力,时间紧迫感,0.7686
同辈竞争压力,内在自我驱策,0.7036
同辈竞争压力,任务完成不确定性,0.7267
同辈竞争压力,竞争性社会环境压力,0.8626
同辈竞争压力,权威人物的价值观内化,0.6371
同辈竞争压力,努力与疲惫的内在冲突,0.7150
同辈竞争压力,社会整体奋进氛围的压力,0.7843
同辈竞争压力,外部高期望的内化,0.7259
同辈竞争压力,未来不确定性驱动的过度准备,0.6662
同辈竞争压力,多重压力叠加,0.7843
同辈竞争压力,竞争压力感知,0.7824
同辈竞争压力,应试教育内化的竞争焦虑,0.7801
同辈竞争压力,就业压力驱动的群体比较,0.7789
同辈竞争压力,经济独立紧迫感,0.6803
同辈竞争压力,同辈学业成就压力,0.8975
同辈竞争压力,教育灌输的效率至上观念,0.6151
同辈竞争压力,现实压力驱动的自我规训,0.7161
同辈竞争压力,自我定位模糊,0.6890
同辈竞争压力,就业导向的教育压力,0.6984
同辈竞争压力,被动卷入竞争环境,0.6919
同辈竞争压力,同伴成就引发的自我贬抑,0.7155
同辈竞争压力,高学业成就期待,0.7854
同辈竞争压力,未完成重要事务的自我责备,0.6293
同辈竞争压力,观察他人努力引发的相对懈怠感,0.7330
同辈竞争压力,竞争性评价体系压力,0.6795
同辈竞争压力,争强好胜的个性倾向,0.7669
同辈竞争压力,竞争劣势引发的焦虑投射,0.8507
同辈竞争压力,自我价值感不足,0.7573
同辈竞争压力,过度关注外部评价,0.7385
同辈竞争压力,学业进度压力,0.8005
同辈竞争压力,同伴内卷氛围引发的归因偏差,0.7104
同辈竞争压力,自我效能感低下,0.7332
同辈竞争压力,他人成就压力,0.7573
同辈竞争压力,思维反刍倾向,0.6608
同辈竞争压力,社会竞争环境强化,0.7666
同辈竞争压力,内在价值冲突,0.6966
同辈竞争压力,同辈竞争压力加剧,0.9327
同辈竞争压力,同伴学习行为引发的焦虑,0.7504
同辈竞争压力,成功焦虑驱动的自我监控,0.7714
同辈竞争压力,生存压力加剧,0.7367
同辈竞争压力,休闲活动的时间消耗感,0.6205
同辈竞争压力,社会竞争氛围内化,0.7035
同辈竞争压力,填鸭式教育经历,0.6287
同辈竞争压力,社会比较压力,0.8232
同辈竞争压力,效率至上价值观,0.5187
同辈竞争压力,对落后于他人的担忧,0.8124
同辈竞争压力,自我价值绑定于持续产出,0.5911
同辈竞争压力,自我施加的完美主义倾向,0.6638
同辈竞争压力,同辈竞争性参照,0.7586
同辈竞争压力,自我提升的迫切需求,0.6970
同辈竞争压力,同伴行为带来的隐性压力,0.7616
同辈竞争压力,家庭成就期待压力,0.6915
同辈竞争压力,成就导向驱动的自我要求,0.6676
同辈竞争压力,内卷环境下的行为惯性,0.7396
同辈竞争压力,工作压力引发的休息冲突,0.7775
同辈竞争压力,学业成绩导向的教育氛围,0.7229
同辈竞争压力,内卷环境与休息渴望的冲突,0.7481
同辈竞争压力,群体性内卷压力,0.7898
同辈竞争压力,担忧被他人超越,0.7959
同辈竞争压力,卷躺两难困境,0.6130
同辈竞争压力,能力与期望不匹配,0.7259
同辈竞争压力,自我行为不一致引发的内疚,0.6273
同辈竞争压力,未完成应尽责任引发的自我谴责,0.6473
同辈竞争压力,他人成就引发的不利自我对照,0.6741
同辈竞争压力,学业压力驱动的休息否定,0.7902
同辈竞争压力,竞争环境下的休息污名化,0.6864
同辈竞争压力,功利主义价值观对休息的贬低,0.5420
同辈竞争压力,同辈行为参照引发的自我审视,0.6989
同辈竞争压力,休息价值感缺失,0.7038
同辈竞争压力,成绩导向的社会评价,0.6976
同辈竞争压力,内外压力叠加,0.7735
同辈竞争压力,早期高压教育灌输,0.6740
同辈竞争压力,同辈竞争驱动的自我压榨,0.7733
同辈竞争压力,对成绩与生活的焦虑,0.8204
同辈竞争压力,社会竞争压力内化,0.8345
同辈竞争压力,应试教育惯性,0.6575
同辈竞争压力,恐惧被他人超越,0.7910
同辈竞争压力,遵从努力型社会规范的压力,0.7324
同辈竞争压力,目标模糊引发的自我苛责,0.6716
同辈竞争压力,功利主义价值观影响,0.5781
同辈竞争压力,优绩主义文化压力,0.7165
同辈竞争压力,传统家庭教育规训,0.6720
同辈竞争压力,社会大众心理氛围,0.7360
同辈竞争压力,同辈竞争焦虑,0.9270
同辈竞争压力,社会功利文化压力,0.6687
同辈竞争压力,自我价值绑定于生产力,0.6280
同辈竞争压力,错失恐惧驱动,0.7451
同辈竞争压力,学习效率低下引发的自我责备,0.6790
同辈竞争压力,重要他人高期待压力,0.7604
同辈竞争压力,亲密关系中的能力落差感,0.6296
同辈竞争压力,教育环境内卷氛围,0.7508
同辈竞争压力,未来方向不确定性,0.7361
同辈竞争压力,环境竞争压力,0.8164
同辈竞争压力,情绪调节困难,0.6784
同辈竞争压力,社会对高效产出的推崇,0.6273
同辈竞争压力,忙碌脱离不适感,0.7232
同辈竞争压力,未来方向不明引发的休息焦虑,0.7582
同辈竞争压力,自我努力不足感,0.7230
同辈竞争压力,过度焦虑倾向,0.7856
同辈竞争压力,他人比较引发的心理失衡,0.7642
同辈竞争压力,忙碌即价值的社会观念,0.6433
同辈竞争压力,害怕落后的焦虑,0.8143
同辈竞争压力,对休息即浪费时间的自我苛责,0.6352
同辈竞争压力,教育环境传递的功利价值观,0.5640
同辈竞争压力,勤奋崇拜文化,0.6253
同辈竞争压力,同辈努力感知压力,0.8348
同辈竞争压力,竞争性社会氛围感知,0.8129
同辈竞争压力,多重结构性压力叠加,0.8145
同辈竞争压力,就业竞争压力,0.8390
同辈竞争压力,应试教育导向下的时间紧迫感,0.6114
同辈竞争压力,高竞争环境下的不敢松懈心理,0.7968
同辈竞争压力,表面努力的压力,0.7230
自我要求过高,优绩主义内化,0.6918
自我要求过高,竞争性环境压力,0.6740
自我要求过高,自我价值与生产力绑定,0.7791
自我要求过高,社会内卷压力,0.7395
自我要求过高,社会内卷氛围,0.6881
自我要求过高,内卷文化压力,0.6533
自我要求过高,对落后的恐惧,0.6731
自我要求过高,自我归因为懒惰,0.7578
自我要求过高,自我能力怀疑,0.7801
自我要求过高,同辈压力,0.6882
自我要求过高,未来不确定性引发的焦虑,0.6433
自我要求过高,拖延引发的休息负罪感,0.6873
自我要求过高,同辈学业比较,0.6695
自我要求过高,资源稀缺引发的竞争压力,0.7012
自我要求过高,未来不确定性焦虑,0.6672
自我要求过高,恐惧落后于他人,0.6985
自我要求过高,社会竞争氛围加剧,0.7075
自我要求过高,同辈努力压力,0.6874
自我要求过高,努力至上价值观的内化,0.7238
自我要求过高,未完成任务引发的焦虑,0.6555
自我要求过高,虚拟空间中的持续绩效监控,0.5788
自我要求过高,同辈学业表现的可见性压力,0.6449
自我要求过高,竞争性社会氛围,0.7049
自我要求过高,休息与懒惰的道德绑定,0.6232
自我要求过高,对他人努力的想象性监控,0.6805
自我要求过高,家庭价值导向强调产出,0.5544
自我要求过高,高强度学业竞争环境,0.7325
自我要求过高,成绩导向的时间紧迫感,0.6829
自我要求过高,外部成就期待压力,0.7137
自我要求过高,对失控后果的担忧,0.6606
自我要求过高,习惯性忙碌内化,0.7877
自我要求过高,高自我要求倾向,0.8835
自我要求过高,学历身份压力,0.6216
自我要求过高,内卷环境感知,0.6266
自我要求过高,社会对持续奋斗的推崇,0.6793
自我要求过高,优绩主义文化内化,0.6229
自我要求过高,社会对勤奋的推崇,0.5796
自我要求过高,学术评价体系的压力,0.6158
自我要求过高,同辈竞争带来的自我约束,0.7079
自我要求过高,家庭对成就的高期待,0.5726
自我要求过高,内在成就动机过强,0.7879
自我要求过高,高强度工作任务压力,0.7408
自我要求过高,社会规训内化,0.7076
自我要求过高,休息被建构为退出竞争的象征,0.5601
自我要求过高,时间利用的道德化认知,0.5278
自我要求过高,休息与时间损失的灾难化联想,0.5802
自我要求过高,任务拖延引发的负罪感,0.5682
自我要求过高,同辈横向比较压力,0.6943
自我要求过高,自我能力不足感,0.8348
自我要求过高,自我提升紧迫感,0.7657
自我要求过高,时间浪费恐惧,0.6121
自我要求过高,完美主义倾向,0.8126
自我要求过高,社会期待压力,0.7849
自我要求过高,长期行为驯化,0.6124
自我要求过高,休息技能缺失,0.7218
自我要求过高,心理健康困扰,0.7462
自我要求过高,就业压力驱动的自我要求,0.7514
自我要求过高,同辈努力氛围引发的自我对照,0.6786
自我要求过高,工作积压压力,0.6613
自我要求过高,社会竞争加剧,0.6582
自我要求过高,努力回报信念,0.5972
自我要求过高,好孩子规训内化,0.5032
自我要求过高,外部认同依赖,0.7832
自我要求过高,决策冲突倾向,0.6587
自我要求过高,反刍性自我审视,0.7386
自我要求过高,同伴比较压力,0.6666
自我要求过高,早期教育塑造的休息观念,0.6332
自我要求过高,高强度学业压力下的自我要求,0.7378
自我要求过高,家庭环境对休息态度的塑造,0.6807
自我要求过高,碎片化工作模式内化,0.6305
自我要求过高,同辈产出压力,0.7242
自我要求过高,竞争性成长环境,0.6539
自我要求过高,未来成就压力,0.6954
自我要求过高,家庭经济压力引发的成就焦虑,0.6821
自我要求过高,社会对持续产出的推崇,0.7113
自我要求过高,休息被等同于浪费,0.5936
自我要求过高,能动力不足,0.7532
自我要求过高,内卷化社会压力,0.6905
自我要求过高,休息价值被否定,0.5701
自我要求过高,时间管理失衡感,0.6892
自我要求过高,对成果质量的高要求与休闲时间的冲突,0.6658
自我要求过高,能力自我怀疑,0.7432
自我要求过高,被超越的恐惧,0.6156
自我要求过高,休息引发的焦虑与恐惧,0.5968
自我要求过高,早期努力至上教育灌输,0.6153
自我要求过高,努力不足归因倾向,0.8284
自我要求过高,他人持续努力的想象性比较,0.7502
自我要求过高,任务未完成时的休息负罪感,0.6332
自我要求过高,集体专注氛围下的休息不适,0.6520
自我要求过高,自控力与行动力的冲突,0.7010
自我要求过高,与同辈自发比较产生的压力,0.7434
自我要求过高,自我期望与能力落差,0.7915
自我要求过高,升学与就业竞争压力,0.6686
自我要求过高,理想自我与现实自我的冲突,0.7562
自我要求过高,竞争性学习内化,0.6472
自我要求过高,目标缺失下的时间空洞感,0.6120
自我要求过高,同辈卷度焦虑,0.6355
自我要求过高,教育灌输的时间观,0.4254
自我要求过高,非自愿的社会比较倾向,0.6192
自我要求过高,制度化时间管理剥夺自主节奏体验,0.5579
自我要求过高,同辈竞争压力下的行为参照,0.7254
自我要求过高,心理困扰驱动的回避性忙碌,0.7273
自我要求过高,竞争导向的评价体系,0.5624
自我要求过高,自我规训的思维模式,0.7215
自我要求过高,学业负担过重,0.6641
自我要求过高,家长期望压力,0.6919
自我要求过高,教师权威驱动,0.5359
自我要求过高,自我意志薄弱,0.7586
自我要求过高,自我期望过高,0.8984
自我要求过高,学业任务压力,0.6571
自我要求过高,休息伴随负面情绪体验,0.6885
自我要求过高,担忧学业落后,0.7360
自我要求过高,恐惧休息行为本身,0.6289
自我要求过高,感知他人隐性竞争,0.5357
自我要求过高,担忧被群体远远抛下,0.5823
自我要求过高,生产力至上价值观,0.6224
自我要求过高,自我提升义务感,0.7569
自我要求过高,时间利用焦虑,0.6479
自我要求过高,就业市场竞争激烈,0.6022
自我要求过高,学历价值下降,0.5747
自我要求过高,社会整体压力氛围,0.6771
自我要求过高,同辈竞争性行为普遍,0.5900
自我要求过高,生活节奏过快,0.6701
自我要求过高,长期高压习惯化,0.6777
自我要求过高,自我成就压力,0.7123
自我要求过高,对落后于他人的恐惧,0.6339
自我要求过高,完美主义驱动的自我要求,0.8563
自我要求过高,竞争意识引发的休息压力,0.6218
自我要求过高,对未完成事务的持续担忧,0.7030
自我要求过高,努力至上文化规范,0.6282
自我要求过高,心理健康价值被忽视,0.6650
自我要求过高,家庭期望压力,0.7679
自我要求过高,目标与能力失衡引发的时间侵占,0.6879
自我要求过高,同侪努力引发的休息不适,0.7000
自我要求过高,自我高期望引发的休息冲突,0.7772
自我要求过高,同侪水平相近时的攀比压力,0.6977
自我要求过高,成就动机驱动,0.7100
自我要求过高,重要他人期望压力,0.6607
自我要求过高,同辈努力参照,0.6829
自我要求过高,社会焦虑氛围渗透,0.6684
自我要求过高,机构文化强调自律与进取,0.5804
自我要求过高,就业前景不确定性带来的压力,0.7158
自我要求过高,教育中缺乏对休闲正当性的认可,0.5885
自我要求过高,未完成任务压力,0.6726
自我要求过高,早期愧疚导向的教养方式,0.6469
自我要求过高,外部高期待压力,0.8137
自我要求过高,自我成就标准过高,0.9366
自我要求过高,对他人负面评价的恐惧,0.7113
自我要求过高,无意识的社会比较倾向,0.6880
自我要求过高,同辈群体的竞争氛围,0.6566
自我要求过高,社会竞争压力,0.6602
自我要求过高,自我要求严苛,0.8867
自我要求过高,内耗型思维模式,0.7182
自我要求过高,过度关注他人表现,0.8450
自我要求过高,资本主义社会对人的异化,0.5105
自我要求过高,价值条件化的教育影响,0.6565
自我要求过高,社会内卷与经济不安全感,0.5497
自我要求过高,同辈学业努力对比,0.6672
自我要求过高,自我成长期待冲突,0.7090
自我要求过高,家庭优先学习理念灌输,0.5615
自我要求过高,学校内卷化学习氛围,0.6351
自我要求过高,社会整体内卷风气,0.6460
自我要求过高,早期习惯内化,0.6583
自我要求过高,高压环境下的自动化思维,0.6611
自我要求过高,社会结构驱动的内卷压力,0.5626
自我要求过高,过高的自我要求,0.9152
自我要求过高,环境压力过大,0.7681
自我要求过高,成就导向的自我价值绑定,0.7612
自我要求过高,外部认可依赖,0.7428
自我要求过高,未达自我努力标准,0.8144
自我要求过高,焦虑敏感的个体特质,0.7543
自我要求过高,高压竞争的社会环境,0.7173
自我要求过高,应试教育塑造的行为惯性,0.6000
自我要求过高,过高自我目标设定,0.8549
自我要求过高,自我效能感不足,0.8241
自我要求过高,过度关注他人状态,0.8009
自我要求过高,自我敏感性过高,0.8263
自我要求过高,未来目标模糊,0.7161
自我要求过高,奋斗文化内化,0.6218
自我要求过高,奋斗价值观的文化传承,0.5884
自我要求过高,群体压力氛围,0.6780
自我要求过高,自我效能怀疑,0.7060
自我要求过高,社会生活节奏压迫感,0.6320
自我要求过高,高自我学业标准,0.8472
自我要求过高,升学目标驱动压力,0.6931
自我要求过高,学业压力内化,0.6958
自我要求过高,休息引发焦虑反应,0.6466
自我要求过高,早期价值观内化,0.6825
自我要求过高,同辈压力驱动的自我监控,0.7422
自我要求过高,理想自我与现实行为的落差,0.7812
自我要求过高,自动化负面思维模式,0.7167
自我要求过高,社会攀比压力,0.7851
自我要求过高,弥漫性焦虑氛围,0.5858
自我要求过高,亲密关系中的价值评判,0.6384
自我要求过高,家庭权威的期望压力,0.6153
自我要求过高,教育者传递的绩效焦虑,0.5350
自我要求过高,高压教养模式,0.5643
自我要求过高,成就导向型人格特质,0.7193
自我要求过高,目标紧迫性感知,0.6938
自我要求过高,计划秩序破坏敏感,0.5791
自我要求过高,效率至上信念,0.6702
自我要求过高,竞争压力下的自我不足感,0.6886
自我要求过高,外部比较压力,0.6599
自我要求过高,内在认知偏差,0.7487
自我要求过高,职场与校园文化规训,0.6113
自我要求过高,同辈压力驱动的休息不适,0.6682
自我要求过高,好胜性格引发的自我苛责,0.8140
自我要求过高,技术加速带来的紧迫感,0.5693
自我要求过高,对未来不确定性的焦虑,0.5693
自我要求过高,生存与生活压力的内化,0.5915
自我要求过高,他人评价的过度关注,0.7766
自我要求过高,幸福观的绩效化倾向,0.6223
自我要求过高,多源压力驱动的应然自我期待,0.7554
自我要求过高,自我设定目标未达成引发的内疚,0.7612
自我要求过高,代际劳动榜样内化,0.5344
自我要求过高,社会推崇进取文化,0.6849
