file_base,file1,file2,combined_text,text1_length,text2_length,combined_length
sub042,sub042.csv,sub042_编码结果.csv,生产力至上 自身要求高 同伴压力 休息浪费时间 休息被视为懒惰 生产力至上价值观 同辈竞争压力 自我提升义务感,31,23,55
sub043,sub043.csv,sub043_编码结果.csv,效率低下 时间利用焦虑,4,6,11
sub044,sub044.csv,sub044_编码结果.csv,社会环境压力 内卷氛围 就业市场竞争激烈 学历价值下降 社会整体压力氛围 同辈竞争性行为普遍 生活节奏过快,11,41,53
sub045,sub045.csv,sub045_编码结果.csv,社会内卷 资源稀缺引发的竞争压力,4,11,16
sub048,sub048.csv,sub048_编码结果.csv,落后恐惧 内卷氛围 竞争性环境压力 长期高压习惯化,9,15,25
sub049,sub049.csv,sub049_编码结果.csv,自我要求高 自我成就压力,5,6,12
sub050,sub050.csv,sub050_编码结果.csv,自我要求高 情绪困扰 完美主义 竞争心理 对落后于他人的恐惧 完美主义驱动的自我要求 竞争意识引发的休息压力 对未完成事务的持续担忧,20,45,66
sub051,sub051.csv,sub051_编码结果.csv,社会规训 努力至上文化规范 心理健康价值被忽视,4,18,23
sub052,sub052.csv,sub052_编码结果.csv,家庭期望 对自身能力不自信 优绩主义 家庭期望压力 自我能力怀疑 优绩主义内化,18,20,39
sub053,sub053.csv,sub053_编码结果.csv,拖延 效率低下 专注力低 缺少规划感 自身的高要求 目标与能力失衡引发的时间侵占,25,14,40
sub054,sub054.csv,sub054_编码结果.csv,同辈压力 自身高期望 同侪努力引发的休息不适 自我高期望引发的休息冲突,10,24,35
sub055,sub055.csv,sub055_编码结果.csv,同伴比较 自身高期望 同侪水平相近时的攀比压力,10,12,23
sub056,sub056.csv,sub056_编码结果.csv,同辈比较 社会内卷 自己的成就动机 家庭期望 社会内卷压力 成就动机驱动 重要他人期望压力 同辈努力参照 社会焦虑氛围渗透,22,38,61
sub057,sub057.csv,sub057_编码结果.csv,学习氛围 社会压力 竞争心理 高强度学业竞争环境 机构文化强调自律与进取 就业前景不确定性带来的压力,14,35,50
sub058,sub058.csv,sub058_编码结果.csv,幼年教育影响 休闲教育缺失 教育中缺乏对休闲正当性的认可,13,14,28
sub059,sub059.csv,sub059_编码结果.csv,工作任务繁重 疲惫感 未完成任务压力,10,7,18
sub060,sub060.csv,sub060_编码结果.csv,父母教育影响/愧疚教育 迎合别人的期待 自身高期望 早期愧疚导向的教养方式 外部高期待压力 自我成就标准过高 对他人负面评价的恐惧,25,39,65
sub061,sub061.csv,sub061_编码结果.csv,社会资源缺乏 同辈比较 社会内卷 资源稀缺引发的竞争压力 无意识的社会比较倾向 同辈群体的竞争氛围,16,32,49
sub062,sub062.csv,sub062_编码结果.csv,社会竞争激烈 内卷氛围 自我要求过高 内耗的性格特质 社会竞争压力 自我要求严苛 内耗型思维模式,26,21,48
sub063,sub063.csv,sub063_编码结果.csv,过分关注他人 过度关注他人表现,6,8,15
sub064,sub064.csv,sub064_编码结果.csv,价值条件化的教育 资本主义社会对人的异化 价值条件化的教育影响,8,22,31
sub065,sub065.csv,sub065_编码结果.csv,内卷氛围 没有安全感 社会环境 社会内卷与经济不安全感,15,11,27
sub066,sub066.csv,sub066_编码结果.csv,同辈竞争 同辈学业努力对比,4,8,13
sub067,sub067.csv,sub067_编码结果.csv,社会内卷 自我期待 落后恐惧 自我矛盾 社会内卷压力 自我成长期待冲突,19,15,35
sub068,sub068.csv,sub068_编码结果.csv,生活和学习习惯 教育观念 高压学习环境 社会内卷 家庭优先学习理念灌输 学校内卷化学习氛围 社会整体内卷风气 早期习惯内化 高压环境下的自动化思维,24,48,73
sub069,sub069.csv,sub069_编码结果.csv,内卷氛围 落后恐惧 群体比较 自我要求过高 环境压力 社会结构驱动的内卷压力 过高的自我要求 环境压力过大,26,26,53
sub070,sub070.csv,sub070_编码结果.csv,成就动机 认同感需求 优绩主义 成就导向的自我价值绑定 外部认可依赖 优绩主义内化,15,25,41
sub071,sub071.csv,sub071_编码结果.csv,认为自己在偷懒 未达自我努力标准,7,8,16
sub072,sub072.csv,sub072_编码结果.csv,内卷氛围 社会内卷氛围,4,6,11
sub073,sub073.csv,sub073_编码结果.csv,高压竞争环境 教育惯性 焦虑敏感 焦虑敏感的个体特质 高压竞争的社会环境 应试教育塑造的行为惯性,16,31,48
sub074,sub074.csv,sub074_编码结果.csv,自身高期望 自我否定 过高自我目标设定 自我效能感不足,10,16,27
sub075,sub075.csv,sub075_编码结果.csv,缺少规划感 过分关注他人 性格敏感 过度关注他人状态 自我敏感性过高 未来目标模糊,17,23,41
sub076,sub076.csv,sub076_编码结果.csv,社会文化 休息等同于懒惰 休息时的负罪感 奋斗文化内化,20,6,27
sub077,sub077.csv,sub077_编码结果.csv,社会文化 奋斗价值观的文化传承,4,10,15
sub078,sub078.csv,sub078_编码结果.csv,同辈压力 未来的不确定感 缺乏自信 生活氛围 群体压力氛围 未来不确定性焦虑 自我效能怀疑 社会生活节奏压迫感,22,32,55
sub079,sub079.csv,sub079_编码结果.csv,焦虑 自身的高要求 学习压力 高自我学业标准 升学目标驱动压力 学业压力内化 休息引发焦虑反应,14,32,47
sub080,sub080.csv,sub080_编码结果.csv,教育惯性 同辈压力 理想与现实落差 早期价值观内化 同辈压力驱动的自我监控 理想自我与现实行为的落差 自动化负面思维模式,17,42,60
sub081,sub081.csv,sub081_编码结果.csv,同辈比较 家庭期望 学校压力 社会攀比压力 弥漫性焦虑氛围 亲密关系中的价值评判 家庭权威的期望压力 教育者传递的绩效焦虑,14,46,61
sub082,sub082.csv,sub082_编码结果.csv,攀比氛围 高压教育 个人好胜心 失控感 休息的时间可以拿来努力 完美主义 高压教养模式 竞争性环境压力 成就导向型人格特质 目标紧迫性感知 计划秩序破坏敏感 效率至上信念,36,48,85
sub083,sub083.csv,sub083_编码结果.csv,社会内卷 对自身能力不自信 竞争压力下的自我不足感,13,11,25
sub084,sub084.csv,sub084_编码结果.csv,环境赋予压力 落后恐惧 外部比较压力 内在认知偏差 职场与校园文化规训 对落后的恐惧,11,30,42
sub085,sub085.csv,sub085_编码结果.csv,同辈压力 自身好胜心强 社会环境 同辈压力驱动的休息不适 好胜性格引发的自我苛责,16,23,40
sub086,sub086.csv,sub086_编码结果.csv,在意他人评价 生活压力 对未来的未知 对幸福的追求 技术加速带来的紧迫感 对未来不确定性的焦虑 生存与生活压力的内化 他人评价的过度关注 幸福观的绩效化倾向,25,52,78
sub087,sub087.csv,sub087_编码结果.csv,社会压力 学校和家庭压力 多源压力驱动的应然自我期待,12,13,26
sub088,sub088.csv,sub088_编码结果.csv,个人好胜心 缺少规划感 自我设定目标未达成引发的内疚,11,14,26
sub089,sub089.csv,sub089_编码结果.csv,家庭氛围 代际劳动榜样内化,4,8,13
sub090,sub090.csv,sub090_编码结果.csv,同辈压力 个人好胜心 社会环境 社会推崇进取文化 同辈压力 个人要强性格,15,20,36
sub091,sub091.csv,sub091_编码结果.csv,内耗性格 自我要求高 高自我要求与完美主义倾向,10,12,23
sub092,sub092.csv,sub092_编码结果.csv,落后恐惧 社会文化 恐惧落后于他人 时间经济化观念 内卷文化压力,9,22,32
sub093,sub093.csv,sub093_编码结果.csv,社会文化 不适应慢节奏 勤劳美德内化 制度性过劳常态化,11,15,27
sub094,sub094.csv,sub094_编码结果.csv,社会内卷 休息不安 社会内卷压力,9,6,16
sub095,sub095.csv,sub095_编码结果.csv,社会观念 休息就是懒惰 社会成功话语对休息的污名化,11,13,25
sub096,sub096.csv,sub096_编码结果.csv,内卷氛围 教育惯性 教育环境强调持续学习 社会内卷氛围压力,9,19,29
sub097,sub097.csv,sub097_编码结果.csv,同辈比较 休息失能 环境压力 高压环境下的休息无效感 同辈竞争引发的休息愧疚,14,23,38
sub098,sub098.csv,sub098_编码结果.csv,内卷氛围 就业压力 缺少规划 焦虑 社会内卷氛围 就业压力 时间管理失当 广泛性焦虑倾向,17,26,44
sub099,sub099.csv,sub099_编码结果.csv,社会竞争激烈 内卷环境引发的竞争压力,6,11,18
sub100,sub100.csv,sub100_编码结果.csv,内卷氛围 休息就是浪费时间 就业压力 同辈竞争压力 就业市场焦虑 休息等同于生命浪费,18,23,42
sub101,sub101.csv,sub101_编码结果.csv,未完成目标的恐惧 对未完成任务的恐惧 对目标的矛盾心理,8,18,27
sub102,sub102.csv,sub102_编码结果.csv,环境压力 未完成目标的恐惧 同辈竞争 未完成任务的压力 群体学习氛围的压迫感,18,19,38
sub103,sub103.csv,sub103_编码结果.csv,对未来的不确定感 社会竞争环境 社会竞争氛围加剧 就业前景焦虑 前途不确定性忧虑,15,24,40
sub104,sub104.csv,sub104_编码结果.csv,同辈比较 家庭期望 在意他人评价 自我高期望 同辈努力压力 家长期望负担 他人审视恐惧 内在成就驱力,22,27,50
sub105,sub105.csv,sub105_编码结果.csv,规划被打乱 未遵循个人休息计划,5,9,15
sub106,sub106.csv,sub106_编码结果.csv,内卷氛围 供需不平衡 生存焦虑 竞争性环境压力 资源稀缺引发的生存焦虑,15,19,35
sub108,sub108.csv,sub108_编码结果.csv,同辈比较 自我要求高 计划失控 完美主义 感知他人努力压力 未完成任务焦虑 自我高标准要求 不切实际的任务目标,20,34,55
sub109,sub109.csv,sub109_编码结果.csv,同辈比较 自我高期望 学业压力 高强度学业竞争感知 自我设定的高成就标准,15,20,36
sub110,sub110.csv,sub110_编码结果.csv,从社媒获得的压力 未来的不确定感 对未来后果的灾难化预期,16,11,28
sub111,sub111.csv,sub111_编码结果.csv,害怕浪费时间 同辈比较 担忧后果 时间紧迫感 内在自我驱策 同辈努力压力 任务完成不确定性,16,28,45
sub112,sub112.csv,sub112_编码结果.csv,教育惯性 现实压力 竞争性社会环境压力 权威人物的价值观内化,9,20,30
sub113,sub113.csv,sub113_编码结果.csv,自我矛盾 努力与疲惫的内在冲突,4,10,15
sub114,sub114.csv,sub114_编码结果.csv,自我迷茫 社会环境压力 社会整体奋进氛围的压力 外部高期望的内化 未来不确定性驱动的过度准备,11,34,46
sub115,sub115.csv,sub115_编码结果.csv,落后恐惧 内卷氛围 社会环境 内卷文化压力,14,6,21
sub117,sub117.csv,sub117_编码结果.csv,社会压力 学业压力 多重压力叠加,9,6,16
sub119,sub119.csv,sub119_编码结果.csv,落后恐惧 自身的高要求 对落后的恐惧 自我要求过高 竞争压力感知,11,20,32
sub120,sub120.csv,sub120_编码结果.csv,教育惯性 家庭经济压力 就业压力 落后恐惧 应试教育内化的竞争焦虑 就业压力驱动的群体比较 经济独立紧迫感,21,31,53
sub121,sub121.csv,sub121_编码结果.csv,同辈比较 内卷压力 休息是浪费时间 同辈学业成就压力,17,8,26
sub122,sub122.csv,sub122_编码结果.csv,教育惯性 教育灌输的效率至上观念,4,11,16
sub123,sub123.csv,sub123_编码结果.csv,教育惯性 成绩导向的时间紧迫感,4,10,15
sub124,sub124.csv,sub124_编码结果.csv,就业环境压力 计划失控 社会压力 现实压力驱动的自我规训,16,11,28
sub125,sub125.csv,sub125_编码结果.csv,同辈竞争 就业压力 自我迷茫 内驱力不足 社会内卷 自我定位模糊 就业导向的教育压力 被动卷入竞争环境 同伴成就引发的自我贬抑,25,37,63
sub126,sub126.csv,sub126_编码结果.csv,拖延 自我要求高 高学业成就期待 拖延引发的休息负罪感,8,18,27
sub127,sub127.csv,sub127_编码结果.csv,同辈比较 休息是浪费时间 未完成重要事务的自我责备 观察他人努力引发的相对懈怠感,12,27,40
sub128,sub128.csv,sub128_编码结果.csv,个人好胜心 落后恐惧 内卷氛围 竞争性评价体系压力 争强好胜的个性倾向 竞争劣势引发的焦虑投射,15,31,47
sub129,sub129.csv,sub129_编码结果.csv,自信心不足 过分关注他人 对未来的不确定 自我价值感不足 过度关注外部评价 未来不确定性焦虑,20,25,46
sub130,sub130.csv,sub130_编码结果.csv,同辈比较 自身高要求 自我要求过高 学业进度压力 同辈学业比较,10,20,31
sub131,sub131.csv,sub131_编码结果.csv,同辈比较 害怕浪费时间 同伴内卷氛围引发的归因偏差,11,13,25
sub132,sub132.csv,sub132_编码结果.csv,同辈比较 对自身能力不自信 内耗性格 社会环境压力 自我效能感低下 他人成就压力 思维反刍倾向 社会竞争环境强化,25,30,56
sub133,sub133.csv,sub133_编码结果.csv,自我矛盾 内在价值冲突,4,6,11
sub134,sub134.csv,sub134_编码结果.csv,同辈比较 就业压力 内卷氛围 同辈竞争压力加剧,14,8,23
sub135,sub135.csv,sub135_编码结果.csv,同辈比较 “努力至上”的价值观 休息就是偷懒 个人好胜心 努力至上价值观的内化 同伴学习行为引发的焦虑 成功焦虑驱动的自我监控,28,34,63
sub136,sub136.csv,sub136_编码结果.csv,社会内卷 生存焦虑 生存压力加剧 休闲活动的时间消耗感 社会竞争氛围内化,9,26,36
sub137,sub137.csv,sub137_编码结果.csv,教育惯性 填鸭式教育经历,4,7,12
sub138,sub138.csv,sub138_编码结果.csv,社会竞争 效率至上的价值观 个人价值与生产力绑定 社会比较压力 效率至上价值观 自我价值与生产力绑定,24,25,50
sub139,sub139.csv,sub139_编码结果.csv,“努力至上”的价值 落后恐惧 竞争压力 休息就是懒惰 自我要求高 努力至上价值观的内化 对落后于他人的担忧 自我价值绑定于持续产出,32,32,65
sub140,sub140.csv,sub140_编码结果.csv,家庭期望 惯性忙碌 社会压力 同辈内卷 外部成就期待压力 自我施加的完美主义倾向 同辈竞争性参照,19,28,48
sub141,sub141.csv,sub141_编码结果.csv,父母期望 内卷氛围 自我期望 群体压力 社会竞争氛围加剧 自我提升的迫切需求 同伴行为带来的隐性压力 家庭成就期待压力,19,39,59
sub142,sub142.csv,sub142_编码结果.csv,工作压力 内卷氛围 惯性忙碌 自我期望 成就导向驱动的自我要求 内卷环境下的行为惯性 工作压力引发的休息冲突,19,34,54
sub143,sub143.csv,sub143_编码结果.csv,教育惯性 学业成绩导向的教育氛围,4,11,16
sub144,sub144.csv,sub144_编码结果.csv,内卷氛围 自我矛盾 内卷环境与休息渴望的冲突,9,12,22
sub145,sub145.csv,sub145_编码结果.csv,同辈比较 社会内卷 群体性内卷压力,9,7,17
sub146,sub146.csv,sub146_编码结果.csv,落后恐惧 认为自己懒惰 自我矛盾 担忧被他人超越 卷躺两难困境 能力与期望不匹配,16,23,40
sub147,sub147.csv,sub147_编码结果.csv,拖延 自我行为不一致引发的内疚,2,12,15
sub148,sub148.csv,sub148_编码结果.csv,同辈比较 计划失控 懒惰 未完成应尽责任引发的自我谴责 他人成就引发的不利自我对照,12,28,41
sub149,sub149.csv,sub149_编码结果.csv,同辈比较 社会竞争 休息无价值 学业压力 功利观念 学业压力驱动的休息否定 竞争环境下的休息污名化 功利主义价值观对休息的贬低 同辈行为参照引发的自我审视 休息价值感缺失,25,59,85
sub150,sub150.csv,sub150_编码结果.csv,内卷氛围 优绩主义 内卷文化压力 成绩导向的社会评价,9,16,26
sub151,sub151.csv,sub151_编码结果.csv,计划失控 压力感知 未完成任务引发的焦虑 内外压力叠加,9,17,27
sub152,sub152.csv,sub152_编码结果.csv,同辈比较 就业环境压力 教育惯性 对未来的不确定感 早期高压教育灌输 同辈竞争驱动的自我压榨,25,20,46
sub153,sub153.csv,sub153_编码结果.csv,焦虑 落后恐惧 恐惧落后于他人 对成绩与生活的焦虑,7,17,25
sub154,sub154.csv,sub154_编码结果.csv,教育惯性 就业压力 社会竞争压力内化 应试教育惯性,9,15,25
sub155,sub155.csv,sub155_编码结果.csv,落后恐惧 教育影响 恐惧被他人超越 遵从努力型社会规范的压力,9,20,30
sub156,sub156.csv,sub156_编码结果.csv,对未来的不确定感 目标不明确 自觉努力不足 目标模糊引发的自我苛责,21,11,33
sub157,sub157.csv,sub157_编码结果.csv,优绩主义 功利主义 教育惯性 功利主义价值观影响 优绩主义文化压力 传统家庭教育规训 社会大众心理氛围,14,36,51
sub158,sub158.csv,sub158_编码结果.csv,拖延 落后恐惧 同辈竞争焦虑,7,6,14
sub159,sub159.csv,sub159_编码结果.csv,社会功利文化 自我价值偏差 同辈竞争 错失恐惧 社会功利文化压力 同辈竞争压力 自我价值绑定于生产力 错失恐惧驱动,23,33,57
sub160,sub160.csv,sub160_编码结果.csv,缺少规划感 学习效率低下引发的自我责备,5,13,19
sub161,sub161.csv,sub161_编码结果.csv,家庭期望 同辈比较 内卷氛围 对未来的不确定感 重要他人高期待压力 亲密关系中的能力落差感 教育环境内卷氛围 未来方向不确定性,23,39,63
sub162,sub162.csv,sub162_编码结果.csv,焦虑 环境内卷 自我要求高 缺少规划感 自我要求过高 环境竞争压力 情绪调节困难,19,20,40
sub163,sub163.csv,sub163_编码结果.csv,同辈竞争 高效产出价值观 社会对高效产出的推崇 同辈竞争压力 自我价值与生产力绑定,12,28,41
sub164,sub164.csv,sub164_编码结果.csv,愧疚 不适应慢节奏 忙碌脱离不适感,9,7,17
sub165,sub165.csv,sub165_编码结果.csv,对未来的不确定感 自我定位迷茫 未来方向不明引发的休息焦虑,15,13,29
sub166,sub166.csv,sub166_编码结果.csv,同辈比较 自觉懒惰 自我努力不足感 过度焦虑倾向 他人比较引发的心理失衡,9,26,36
sub167,sub167.csv,sub167_编码结果.csv,害怕浪费时间 惯性忙碌 落后恐惧 忙碌即价值的社会观念 害怕落后的焦虑 对休息即浪费时间的自我苛责,16,32,49
sub168,sub168.csv,sub168_编码结果.csv,教育惯性 优绩主义 个人价值与生产力绑定 教育环境传递的功利价值观,20,12,33
sub169,sub169.csv,sub169_编码结果.csv,同辈比较 休息就是浪费时间 社会文化推崇 未完成目标的恐惧 勤奋崇拜文化 未完成任务引发的焦虑 同辈努力感知压力,29,26,56
sub170,sub170.csv,sub170_编码结果.csv,同辈比较 就业压力 生活学习压力 竞争性社会氛围感知 多重结构性压力叠加,16,19,36
sub171,sub171.csv,sub171_编码结果.csv,同辈比较 社会内卷 落后恐惧 同辈竞争压力 社会内卷氛围,14,13,28
sub172,sub172.csv,sub172_编码结果.csv,就业压力 内卷氛围 就业竞争压力,9,6,16
sub173,sub173.csv,sub173_编码结果.csv,现实压力 教育惯性 内卷氛围 应试教育导向下的时间紧迫感 高竞争环境下的不敢松懈心理,14,27,42
sub174,sub174.csv,sub174_编码结果.csv,为了迎合人群努力 表面努力的压力,8,7,16
