编码1,编码2,相似度
同辈竞争压力,时间管理失衡感,0.5065
同辈竞争压力,对成果质量的高要求与休闲时间的冲突,0.5073
同辈竞争压力,被超越的恐惧,0.5319
同辈竞争压力,休息引发的焦虑与恐惧,0.5728
同辈竞争压力,早期努力至上教育灌输,0.4752
同辈竞争压力,努力不足归因倾向,0.5532
同辈竞争压力,任务未完成时的休息负罪感,0.4560
同辈竞争压力,集体专注氛围下的休息不适,0.6095
同辈竞争压力,自控力与行动力的冲突,0.4840
同辈竞争压力,自我期望与能力落差,0.5764
同辈竞争压力,理想自我与现实自我的冲突,0.4775
同辈竞争压力,竞争性学习内化,0.6085
同辈竞争压力,目标缺失下的时间空洞感,0.4542
同辈竞争压力,同辈卷度焦虑,0.7915
同辈竞争压力,教育灌输的时间观,0.3380
同辈竞争压力,非自愿的社会比较倾向,0.5617
同辈竞争压力,制度化时间管理剥夺自主节奏体验,0.4383
同辈竞争压力,心理困扰驱动的回避性忙碌,0.5599
同辈竞争压力,竞争导向的评价体系,0.5313
同辈竞争压力,自我规训的思维模式,0.4980
同辈竞争压力,多重压力叠加,0.6745
同辈竞争压力,家长期望压力,0.6440
同辈竞争压力,教师权威驱动,0.4605
同辈竞争压力,自我意志薄弱,0.4922
同辈竞争压力,担忧学业落后,0.6791
同辈竞争压力,恐惧休息行为本身,0.5117
同辈竞争压力,感知他人隐性竞争,0.5700
同辈竞争压力,担忧被群体远远抛下,0.6556
同辈竞争压力,生产力至上价值观,0.4204
同辈竞争压力,自我提升义务感,0.4737
同辈竞争压力,就业市场竞争激烈,0.6423
同辈竞争压力,学历价值下降,0.5563
同辈竞争压力,同辈群体的竞争氛围,0.7485
同辈竞争压力,同辈竞争性参照,0.7759
同辈竞争压力,生活节奏过快,0.5387
同辈竞争压力,长期高压习惯化,0.5921
同辈竞争压力,自我成就压力,0.7109
同辈竞争压力,心理健康价值被忽视,0.4780
同辈竞争压力,目标与能力失衡引发的时间侵占,0.4880
同辈竞争压力,同侪努力引发的休息不适,0.6914
同辈竞争压力,重要他人期望压力,0.5991
同辈竞争压力,同辈努力参照,0.6583
同辈竞争压力,社会焦虑氛围渗透,0.6054
同辈竞争压力,机构文化强调自律与进取,0.4129
同辈竞争压力,教育中缺乏对休闲正当性的认可,0.4716
同辈竞争压力,早期愧疚导向的教养方式,0.4698
同辈竞争压力,对他人负面评价的恐惧,0.5871
同辈竞争压力,内耗型思维模式,0.5328
同辈竞争压力,资本主义社会对人的异化,0.3531
同辈竞争压力,价值条件化的教育影响,0.5016
同辈竞争压力,社会内卷与经济不安全感,0.5670
同辈竞争压力,自我成长期待冲突,0.5578
同辈竞争压力,家庭优先学习理念灌输,0.4832
同辈竞争压力,学校内卷化学习氛围,0.6210
同辈竞争压力,早期习惯内化,0.4802
同辈竞争压力,高压环境下的自动化思维,0.5813
同辈竞争压力,社会结构驱动的内卷压力,0.6351
同辈竞争压力,焦虑敏感的个体特质,0.5920
同辈竞争压力,应试教育塑造的行为惯性,0.5117
同辈竞争压力,过度关注他人状态,0.5080
同辈竞争压力,自我敏感性过高,0.4628
同辈竞争压力,未来目标模糊,0.4491
同辈竞争压力,奋斗价值观的文化传承,0.4809
同辈竞争压力,群体压力氛围,0.6559
同辈竞争压力,社会生活节奏压迫感,0.6180
同辈竞争压力,升学目标驱动压力,0.6768
同辈竞争压力,理想自我与现实行为的落差,0.4570
同辈竞争压力,自动化负面思维模式,0.4590
同辈竞争压力,社会攀比压力,0.7076
同辈竞争压力,弥漫性焦虑氛围,0.5526
同辈竞争压力,亲密关系中的价值评判,0.4895
同辈竞争压力,家庭权威的期望压力,0.5545
同辈竞争压力,教育者传递的绩效焦虑,0.5350
同辈竞争压力,高压教养模式,0.4728
同辈竞争压力,成就导向型人格特质,0.4829
同辈竞争压力,目标紧迫性感知,0.5722
同辈竞争压力,计划秩序破坏敏感,0.4390
同辈竞争压力,效率至上信念,0.4360
同辈竞争压力,竞争压力下的自我不足感,0.6904
同辈竞争压力,外部比较压力,0.7290
同辈竞争压力,职场与校园文化规训,0.5034
同辈竞争压力,技术加速带来的紧迫感,0.5947
同辈竞争压力,生存与生活压力的内化,0.5873
同辈竞争压力,他人评价的过度关注,0.5741
同辈竞争压力,幸福观的绩效化倾向,0.4142
同辈竞争压力,多源压力驱动的应然自我期待,0.6451
同辈竞争压力,自我设定目标未达成引发的内疚,0.4624
同辈竞争压力,代际劳动榜样内化,0.5305
同辈竞争压力,个人要强性格,0.4266
同辈竞争压力,时间经济化观念,0.4253
同辈竞争压力,勤劳美德内化,0.4357
同辈竞争压力,制度性过劳常态化,0.4972
同辈竞争压力,社会成功话语对休息的污名化,0.4332
同辈竞争压力,教育环境强调持续学习,0.4311
同辈竞争压力,高压环境下的休息无效感,0.6002
同辈竞争压力,广泛性焦虑倾向,0.5496
同辈竞争压力,内卷环境引发的竞争压力,0.7030
同辈竞争压力,前途不确定性忧虑,0.5271
同辈竞争压力,资源稀缺引发的生存焦虑,0.5838
同辈竞争压力,感知他人努力压力,0.6861
同辈竞争压力,不切实际的任务目标,0.4521
同辈竞争压力,对未来后果的灾难化预期,0.4991
同辈竞争压力,任务完成不确定性,0.5325
同辈竞争压力,权威人物的价值观内化,0.4717
同辈竞争压力,努力与疲惫的内在冲突,0.5406
同辈竞争压力,未来不确定性驱动的过度准备,0.4945
同辈竞争压力,应试教育内化的竞争焦虑,0.7000
同辈竞争压力,就业压力驱动的群体比较,0.6499
同辈竞争压力,经济独立紧迫感,0.5497
同辈竞争压力,教育灌输的效率至上观念,0.4357
同辈竞争压力,现实压力驱动的自我规训,0.6402
同辈竞争压力,自我定位模糊,0.4785
同辈竞争压力,就业导向的教育压力,0.5612
同辈竞争压力,被动卷入竞争环境,0.5531
同辈竞争压力,同伴成就引发的自我贬抑,0.6245
同辈竞争压力,未完成重要事务的自我责备,0.4648
同辈竞争压力,竞争性评价体系压力,0.6695
同辈竞争压力,同伴内卷氛围引发的归因偏差,0.6020
同辈竞争压力,思维反刍倾向,0.4776
同辈竞争压力,内在价值冲突,0.5391
同辈竞争压力,同伴学习行为引发的焦虑,0.6797
同辈竞争压力,成功焦虑驱动的自我监控,0.5934
同辈竞争压力,生存压力加剧,0.6206
同辈竞争压力,休闲活动的时间消耗感,0.4300
同辈竞争压力,填鸭式教育经历,0.4512
同辈竞争压力,效率至上价值观,0.3533
同辈竞争压力,自我提升的迫切需求,0.4937
同辈竞争压力,同伴行为带来的隐性压力,0.7152
同辈竞争压力,成就导向驱动的自我要求,0.5237
同辈竞争压力,内卷环境下的行为惯性,0.5680
同辈竞争压力,工作压力引发的休息冲突,0.6448
同辈竞争压力,卷躺两难困境,0.4409
同辈竞争压力,能力与期望不匹配,0.5516
同辈竞争压力,自我行为不一致引发的内疚,0.4916
同辈竞争压力,竞争环境下的休息污名化,0.5742
同辈竞争压力,功利主义价值观影响,0.4049
同辈竞争压力,同辈行为参照引发的自我审视,0.6225
同辈竞争压力,成绩导向的社会评价,0.5463
同辈竞争压力,早期高压教育灌输,0.5332
同辈竞争压力,对成绩与生活的焦虑,0.6653
同辈竞争压力,遵从努力型社会规范的压力,0.6424
同辈竞争压力,目标模糊引发的自我苛责,0.4800
同辈竞争压力,优绩主义文化压力,0.5996
同辈竞争压力,亲密关系中的能力落差感,0.5160
同辈竞争压力,未来方向不确定性,0.5506
同辈竞争压力,情绪调节困难,0.5031
同辈竞争压力,社会对高效产出的推崇,0.4846
同辈竞争压力,忙碌即价值的社会观念,0.5013
同辈竞争压力,害怕落后的焦虑,0.6951
同辈竞争压力,对休息即浪费时间的自我苛责,0.4745
同辈竞争压力,勤奋崇拜文化,0.5198
同辈竞争压力,同辈努力感知压力,0.8280
同辈竞争压力,就业竞争压力,0.7201
同辈竞争压力,应试教育导向下的时间紧迫感,0.5334
同辈竞争压力,高竞争环境下的不敢松懈心理,0.6647
同辈竞争压力,表面努力的压力,0.6493
自我要求过高,优绩主义内化,0.6047
自我要求过高,竞争性环境压力,0.5158
自我要求过高,自我价值绑定于生产力,0.6195
自我要求过高,社会内卷压力,0.5149
自我要求过高,对落后的恐惧,0.5650
自我要求过高,自我归因为懒惰,0.6418
自我要求过高,自我效能感低下,0.6980
自我要求过高,未来不确定性焦虑,0.5155
自我要求过高,拖延引发的休息负罪感,0.5829
自我要求过高,同辈学业比较,0.6018
自我要求过高,恐惧落后于他人,0.5454
自我要求过高,努力至上价值观的内化,0.6209
自我要求过高,未完成任务引发的焦虑,0.5299
自我要求过高,虚拟空间中的持续绩效监控,0.4442
自我要求过高,休息与懒惰的道德绑定,0.5232
自我要求过高,对他人努力的想象性监控,0.5985
自我要求过高,家庭价值导向强调产出,0.4789
自我要求过高,高强度学业竞争环境,0.6205
自我要求过高,外部成就期待压力,0.5773
自我要求过高,习惯性忙碌内化,0.6697
自我要求过高,学历身份压力,0.5504
自我要求过高,内卷环境感知,0.4891
自我要求过高,社会对持续奋斗的推崇,0.5225
自我要求过高,学术评价体系的压力,0.5372
自我要求过高,家庭对成就的高期待,0.5982
自我要求过高,内在成就动机过强,0.7079
自我要求过高,高强度工作任务压力,0.6440
自我要求过高,社会规训内化,0.6042
自我要求过高,休息被建构为退出竞争的象征,0.4499
自我要求过高,时间利用的道德化认知,0.4283
自我要求过高,休息与时间损失的灾难化联想,0.4553
自我要求过高,任务拖延引发的负罪感,0.5135
自我要求过高,时间浪费恐惧,0.4569
自我要求过高,完美主义倾向,0.8151
自我要求过高,长期行为驯化,0.5316
自我要求过高,休息价值感缺失,0.5870
自我要求过高,心理健康困扰,0.6622
自我要求过高,就业压力驱动的自我要求,0.6476
自我要求过高,努力回报信念,0.5058
自我要求过高,好孩子规训内化,0.4975
自我要求过高,外部认同依赖,0.6678
自我要求过高,决策冲突倾向,0.5654
自我要求过高,反刍性自我审视,0.6307
自我要求过高,早期教育塑造的休息观念,0.5230
自我要求过高,高强度学业压力下的自我要求,0.6934
自我要求过高,碎片化工作模式内化,0.5304
自我要求过高,家庭经济压力引发的成就焦虑,0.6067
自我要求过高,休息等同于生命浪费,0.4600
自我要求过高,时间管理失衡感,0.5664
自我要求过高,对成果质量的高要求与休闲时间的冲突,0.6082
自我要求过高,被超越的恐惧,0.5398
自我要求过高,休息引发的焦虑与恐惧,0.5110
自我要求过高,早期努力至上教育灌输,0.5539
自我要求过高,努力不足归因倾向,0.7215
自我要求过高,任务未完成时的休息负罪感,0.5181
自我要求过高,集体专注氛围下的休息不适,0.5041
自我要求过高,自控力与行动力的冲突,0.6147
自我要求过高,自我期望与能力落差,0.7120
自我要求过高,理想自我与现实自我的冲突,0.7025
自我要求过高,竞争性学习内化,0.5333
自我要求过高,目标缺失下的时间空洞感,0.5001
自我要求过高,同辈卷度焦虑,0.5554
自我要求过高,教育灌输的时间观,0.3641
自我要求过高,非自愿的社会比较倾向,0.5538
自我要求过高,制度化时间管理剥夺自主节奏体验,0.4840
自我要求过高,心理困扰驱动的回避性忙碌,0.6139
自我要求过高,竞争导向的评价体系,0.5152
自我要求过高,自我规训的思维模式,0.6536
自我要求过高,多重压力叠加,0.5552
自我要求过高,家长期望压力,0.5917
自我要求过高,教师权威驱动,0.5093
自我要求过高,自我意志薄弱,0.6932
自我要求过高,担忧学业落后,0.6262
自我要求过高,恐惧休息行为本身,0.5175
自我要求过高,感知他人隐性竞争,0.4499
自我要求过高,担忧被群体远远抛下,0.4888
自我要求过高,生产力至上价值观,0.5246
自我要求过高,自我提升义务感,0.7027
自我要求过高,就业市场竞争激烈,0.5249
自我要求过高,学历价值下降,0.4856
自我要求过高,同辈群体的竞争氛围,0.5091
自我要求过高,同辈竞争性参照,0.5587
自我要求过高,生活节奏过快,0.5732
自我要求过高,长期高压习惯化,0.6661
自我要求过高,自我成就压力,0.6769
自我要求过高,心理健康价值被忽视,0.5711
自我要求过高,目标与能力失衡引发的时间侵占,0.5775
自我要求过高,同侪努力引发的休息不适,0.5528
自我要求过高,重要他人期望压力,0.6010
自我要求过高,同辈努力参照,0.5135
自我要求过高,社会焦虑氛围渗透,0.5506
自我要求过高,机构文化强调自律与进取,0.4916
自我要求过高,教育中缺乏对休闲正当性的认可,0.4722
自我要求过高,早期愧疚导向的教养方式,0.5622
自我要求过高,对他人负面评价的恐惧,0.5790
自我要求过高,内耗型思维模式,0.6007
自我要求过高,资本主义社会对人的异化,0.3881
自我要求过高,价值条件化的教育影响,0.5621
自我要求过高,社会内卷与经济不安全感,0.4646
自我要求过高,自我成长期待冲突,0.6520
自我要求过高,家庭优先学习理念灌输,0.4928
自我要求过高,学校内卷化学习氛围,0.5704
自我要求过高,早期习惯内化,0.5614
自我要求过高,高压环境下的自动化思维,0.5908
自我要求过高,社会结构驱动的内卷压力,0.4981
自我要求过高,焦虑敏感的个体特质,0.6296
自我要求过高,应试教育塑造的行为惯性,0.4994
自我要求过高,过度关注他人状态,0.6808
自我要求过高,自我敏感性过高,0.7806
自我要求过高,未来目标模糊,0.5989
自我要求过高,奋斗价值观的文化传承,0.4802
自我要求过高,群体压力氛围,0.5891
自我要求过高,社会生活节奏压迫感,0.5099
自我要求过高,升学目标驱动压力,0.6129
自我要求过高,理想自我与现实行为的落差,0.7166
自我要求过高,自动化负面思维模式,0.5907
自我要求过高,社会攀比压力,0.6703
自我要求过高,弥漫性焦虑氛围,0.5126
自我要求过高,亲密关系中的价值评判,0.5395
自我要求过高,家庭权威的期望压力,0.5367
自我要求过高,教育者传递的绩效焦虑,0.4811
自我要求过高,高压教养模式,0.6042
自我要求过高,成就导向型人格特质,0.6490
自我要求过高,目标紧迫性感知,0.5772
自我要求过高,计划秩序破坏敏感,0.5423
自我要求过高,效率至上信念,0.6083
自我要求过高,竞争压力下的自我不足感,0.5834
自我要求过高,外部比较压力,0.5877
自我要求过高,职场与校园文化规训,0.5180
自我要求过高,技术加速带来的紧迫感,0.4824
自我要求过高,生存与生活压力的内化,0.4822
自我要求过高,他人评价的过度关注,0.6988
自我要求过高,幸福观的绩效化倾向,0.5310
自我要求过高,多源压力驱动的应然自我期待,0.6852
自我要求过高,自我设定目标未达成引发的内疚,0.7111
自我要求过高,代际劳动榜样内化,0.4792
自我要求过高,个人要强性格,0.6651
自我要求过高,时间经济化观念,0.4228
自我要求过高,勤劳美德内化,0.5246
自我要求过高,制度性过劳常态化,0.5318
自我要求过高,社会成功话语对休息的污名化,0.4768
自我要求过高,教育环境强调持续学习,0.4423
自我要求过高,高压环境下的休息无效感,0.5959
自我要求过高,广泛性焦虑倾向,0.5860
自我要求过高,内卷环境引发的竞争压力,0.5228
自我要求过高,前途不确定性忧虑,0.5236
自我要求过高,资源稀缺引发的生存焦虑,0.5364
自我要求过高,感知他人努力压力,0.5373
自我要求过高,不切实际的任务目标,0.6566
自我要求过高,对未来后果的灾难化预期,0.4785
自我要求过高,任务完成不确定性,0.5779
自我要求过高,权威人物的价值观内化,0.5902
自我要求过高,努力与疲惫的内在冲突,0.5808
自我要求过高,未来不确定性驱动的过度准备,0.5380
自我要求过高,应试教育内化的竞争焦虑,0.5048
自我要求过高,就业压力驱动的群体比较,0.4770
自我要求过高,经济独立紧迫感,0.5378
自我要求过高,教育灌输的效率至上观念,0.4823
自我要求过高,现实压力驱动的自我规训,0.6342
自我要求过高,自我定位模糊,0.6852
自我要求过高,就业导向的教育压力,0.4883
自我要求过高,被动卷入竞争环境,0.4733
自我要求过高,同伴成就引发的自我贬抑,0.5980
自我要求过高,未完成重要事务的自我责备,0.6722
自我要求过高,竞争性评价体系压力,0.4916
自我要求过高,同伴内卷氛围引发的归因偏差,0.5202
自我要求过高,思维反刍倾向,0.6485
自我要求过高,内在价值冲突,0.6229
自我要求过高,同伴学习行为引发的焦虑,0.4524
自我要求过高,成功焦虑驱动的自我监控,0.6247
自我要求过高,生存压力加剧,0.4961
自我要求过高,休闲活动的时间消耗感,0.4644
自我要求过高,填鸭式教育经历,0.4993
自我要求过高,效率至上价值观,0.5282
自我要求过高,自我提升的迫切需求,0.6941
自我要求过高,同伴行为带来的隐性压力,0.5080
自我要求过高,成就导向驱动的自我要求,0.7303
自我要求过高,内卷环境下的行为惯性,0.5510
自我要求过高,工作压力引发的休息冲突,0.5565
自我要求过高,卷躺两难困境,0.4305
自我要求过高,能力与期望不匹配,0.6884
自我要求过高,自我行为不一致引发的内疚,0.6797
自我要求过高,竞争环境下的休息污名化,0.4824
自我要求过高,功利主义价值观影响,0.4647
自我要求过高,同辈行为参照引发的自我审视,0.5807
自我要求过高,成绩导向的社会评价,0.5613
自我要求过高,早期高压教育灌输,0.6231
自我要求过高,对成绩与生活的焦虑,0.5686
自我要求过高,遵从努力型社会规范的压力,0.5946
自我要求过高,目标模糊引发的自我苛责,0.7206
自我要求过高,优绩主义文化压力,0.5985
自我要求过高,亲密关系中的能力落差感,0.5664
自我要求过高,未来方向不确定性,0.5344
自我要求过高,情绪调节困难,0.6158
自我要求过高,社会对高效产出的推崇,0.5990
自我要求过高,忙碌即价值的社会观念,0.4867
自我要求过高,害怕落后的焦虑,0.5722
自我要求过高,对休息即浪费时间的自我苛责,0.6456
自我要求过高,勤奋崇拜文化,0.5437
自我要求过高,同辈努力感知压力,0.5827
自我要求过高,就业竞争压力,0.5767
自我要求过高,应试教育导向下的时间紧迫感,0.4600
自我要求过高,高竞争环境下的不敢松懈心理,0.5840
自我要求过高,表面努力的压力,0.5510
优绩主义内化,竞争性环境压力,0.5725
优绩主义内化,自我价值绑定于生产力,0.7046
优绩主义内化,社会内卷压力,0.6012
优绩主义内化,对落后的恐惧,0.5512
优绩主义内化,自我归因为懒惰,0.6159
优绩主义内化,自我效能感低下,0.5996
优绩主义内化,未来不确定性焦虑,0.4813
优绩主义内化,拖延引发的休息负罪感,0.5597
优绩主义内化,同辈学业比较,0.5799
优绩主义内化,恐惧落后于他人,0.5291
优绩主义内化,努力至上价值观的内化,0.7581
优绩主义内化,未完成任务引发的焦虑,0.4758
优绩主义内化,虚拟空间中的持续绩效监控,0.5518
优绩主义内化,休息与懒惰的道德绑定,0.6268
优绩主义内化,对他人努力的想象性监控,0.6423
优绩主义内化,家庭价值导向强调产出,0.5941
优绩主义内化,高强度学业竞争环境,0.6605
优绩主义内化,外部成就期待压力,0.5924
优绩主义内化,习惯性忙碌内化,0.6112
优绩主义内化,学历身份压力,0.5724
优绩主义内化,内卷环境感知,0.6346
优绩主义内化,社会对持续奋斗的推崇,0.7334
优绩主义内化,学术评价体系的压力,0.6380
优绩主义内化,家庭对成就的高期待,0.6231
优绩主义内化,内在成就动机过强,0.7010
优绩主义内化,高强度工作任务压力,0.5624
优绩主义内化,社会规训内化,0.7488
优绩主义内化,休息被建构为退出竞争的象征,0.6325
优绩主义内化,时间利用的道德化认知,0.5187
优绩主义内化,休息与时间损失的灾难化联想,0.5385
优绩主义内化,任务拖延引发的负罪感,0.5220
优绩主义内化,时间浪费恐惧,0.4977
优绩主义内化,完美主义倾向,0.7040
优绩主义内化,长期行为驯化,0.6337
优绩主义内化,休息价值感缺失,0.6115
优绩主义内化,心理健康困扰,0.5497
优绩主义内化,就业压力驱动的自我要求,0.5708
优绩主义内化,努力回报信念,0.6305
优绩主义内化,好孩子规训内化,0.6405
优绩主义内化,外部认同依赖,0.6834
优绩主义内化,决策冲突倾向,0.6332
优绩主义内化,反刍性自我审视,0.6100
优绩主义内化,早期教育塑造的休息观念,0.6077
优绩主义内化,高强度学业压力下的自我要求,0.6465
优绩主义内化,碎片化工作模式内化,0.6253
优绩主义内化,家庭经济压力引发的成就焦虑,0.6035
优绩主义内化,休息等同于生命浪费,0.6186
优绩主义内化,时间管理失衡感,0.5560
优绩主义内化,对成果质量的高要求与休闲时间的冲突,0.6178
优绩主义内化,被超越的恐惧,0.4763
优绩主义内化,休息引发的焦虑与恐惧,0.5013
优绩主义内化,早期努力至上教育灌输,0.6810
优绩主义内化,努力不足归因倾向,0.6628
优绩主义内化,任务未完成时的休息负罪感,0.5956
优绩主义内化,集体专注氛围下的休息不适,0.5769
优绩主义内化,自控力与行动力的冲突,0.6141
优绩主义内化,自我期望与能力落差,0.6234
优绩主义内化,理想自我与现实自我的冲突,0.6939
优绩主义内化,竞争性学习内化,0.7177
优绩主义内化,目标缺失下的时间空洞感,0.5210
优绩主义内化,同辈卷度焦虑,0.5652
优绩主义内化,教育灌输的时间观,0.5439
优绩主义内化,非自愿的社会比较倾向,0.5994
优绩主义内化,制度化时间管理剥夺自主节奏体验,0.5458
优绩主义内化,心理困扰驱动的回避性忙碌,0.5515
优绩主义内化,竞争导向的评价体系,0.6500
优绩主义内化,自我规训的思维模式,0.6886
优绩主义内化,多重压力叠加,0.5197
优绩主义内化,家长期望压力,0.5458
优绩主义内化,教师权威驱动,0.5755
优绩主义内化,自我意志薄弱,0.6261
优绩主义内化,担忧学业落后,0.5888
优绩主义内化,恐惧休息行为本身,0.4878
优绩主义内化,感知他人隐性竞争,0.6276
优绩主义内化,担忧被群体远远抛下,0.5291
优绩主义内化,生产力至上价值观,0.6999
优绩主义内化,自我提升义务感,0.6728
优绩主义内化,就业市场竞争激烈,0.5529
优绩主义内化,学历价值下降,0.6676
优绩主义内化,同辈群体的竞争氛围,0.6162
优绩主义内化,同辈竞争性参照,0.6371
优绩主义内化,生活节奏过快,0.5707
优绩主义内化,长期高压习惯化,0.5779
优绩主义内化,自我成就压力,0.5944
优绩主义内化,心理健康价值被忽视,0.6130
优绩主义内化,目标与能力失衡引发的时间侵占,0.5840
优绩主义内化,同侪努力引发的休息不适,0.6372
优绩主义内化,重要他人期望压力,0.5231
优绩主义内化,同辈努力参照,0.6404
优绩主义内化,社会焦虑氛围渗透,0.5854
优绩主义内化,机构文化强调自律与进取,0.6439
优绩主义内化,教育中缺乏对休闲正当性的认可,0.6218
优绩主义内化,早期愧疚导向的教养方式,0.5909
优绩主义内化,对他人负面评价的恐惧,0.5341
优绩主义内化,内耗型思维模式,0.6690
优绩主义内化,资本主义社会对人的异化,0.5648
优绩主义内化,价值条件化的教育影响,0.7439
优绩主义内化,社会内卷与经济不安全感,0.5950
优绩主义内化,自我成长期待冲突,0.6084
优绩主义内化,家庭优先学习理念灌输,0.6209
优绩主义内化,学校内卷化学习氛围,0.6139
优绩主义内化,早期习惯内化,0.6951
优绩主义内化,高压环境下的自动化思维,0.5609
优绩主义内化,社会结构驱动的内卷压力,0.6058
优绩主义内化,焦虑敏感的个体特质,0.5224
优绩主义内化,应试教育塑造的行为惯性,0.6536
优绩主义内化,过度关注他人状态,0.6122
优绩主义内化,自我敏感性过高,0.5497
优绩主义内化,未来目标模糊,0.5339
优绩主义内化,奋斗价值观的文化传承,0.6479
优绩主义内化,群体压力氛围,0.6008
优绩主义内化,社会生活节奏压迫感,0.5735
优绩主义内化,升学目标驱动压力,0.5854
优绩主义内化,理想自我与现实行为的落差,0.6869
优绩主义内化,自动化负面思维模式,0.6157
优绩主义内化,社会攀比压力,0.6168
优绩主义内化,弥漫性焦虑氛围,0.5138
优绩主义内化,亲密关系中的价值评判,0.5832
优绩主义内化,家庭权威的期望压力,0.5121
优绩主义内化,教育者传递的绩效焦虑,0.5933
优绩主义内化,高压教养模式,0.5934
优绩主义内化,成就导向型人格特质,0.6672
优绩主义内化,目标紧迫性感知,0.5075
优绩主义内化,计划秩序破坏敏感,0.5026
优绩主义内化,效率至上信念,0.6728
优绩主义内化,竞争压力下的自我不足感,0.6327
优绩主义内化,外部比较压力,0.5758
优绩主义内化,职场与校园文化规训,0.6802
优绩主义内化,技术加速带来的紧迫感,0.5200
优绩主义内化,生存与生活压力的内化,0.5757
优绩主义内化,他人评价的过度关注,0.6724
优绩主义内化,幸福观的绩效化倾向,0.7018
优绩主义内化,多源压力驱动的应然自我期待,0.6405
优绩主义内化,自我设定目标未达成引发的内疚,0.5960
优绩主义内化,代际劳动榜样内化,0.6570
优绩主义内化,个人要强性格,0.5923
优绩主义内化,时间经济化观念,0.6136
优绩主义内化,勤劳美德内化,0.7304
优绩主义内化,制度性过劳常态化,0.5860
优绩主义内化,社会成功话语对休息的污名化,0.6596
优绩主义内化,教育环境强调持续学习,0.5770
优绩主义内化,高压环境下的休息无效感,0.5180
优绩主义内化,广泛性焦虑倾向,0.4686
优绩主义内化,内卷环境引发的竞争压力,0.5807
优绩主义内化,前途不确定性忧虑,0.5796
优绩主义内化,资源稀缺引发的生存焦虑,0.6292
优绩主义内化,感知他人努力压力,0.5884
优绩主义内化,不切实际的任务目标,0.5846
优绩主义内化,对未来后果的灾难化预期,0.4452
优绩主义内化,任务完成不确定性,0.6149
优绩主义内化,权威人物的价值观内化,0.7491
优绩主义内化,努力与疲惫的内在冲突,0.6269
优绩主义内化,未来不确定性驱动的过度准备,0.5029
优绩主义内化,应试教育内化的竞争焦虑,0.6544
优绩主义内化,就业压力驱动的群体比较,0.5427
优绩主义内化,经济独立紧迫感,0.5461
优绩主义内化,教育灌输的效率至上观念,0.6842
优绩主义内化,现实压力驱动的自我规训,0.6139
优绩主义内化,自我定位模糊,0.5895
优绩主义内化,就业导向的教育压力,0.6016
优绩主义内化,被动卷入竞争环境,0.5939
优绩主义内化,同伴成就引发的自我贬抑,0.6741
优绩主义内化,未完成重要事务的自我责备,0.6057
优绩主义内化,竞争性评价体系压力,0.6071
优绩主义内化,同伴内卷氛围引发的归因偏差,0.6405
优绩主义内化,思维反刍倾向,0.6119
优绩主义内化,内在价值冲突,0.6946
